Plant,TÊN CỬA HÀNG,Chi nhánh,TỈNH/TP (TRÊN SAP),Tier,Latitude,Longitude,Total View GMB,Tin nhắn FMB x ZMB,Chỉ đường GMB,Điểm 5* GMB
1592,"TTKH CT4A Bắc Linh Đàm, Đại Kim",Miền Bắc,Hà Nội,Tier 1,20.9696025,105.8290757,13304,628,472,5.0
1593,"TTKH 13A Nguyễn Hữu Cảnh, Chợ Mới",Miền Tây,An Giang,Tier 3,10.5488095,105.4034119,2730,421,126,0.0
1594,"TTKH 213 Lý Nam Đế, Thái Nguyên",Miền Bắc,Thái Nguyên,Tier 3,21.4126271,105.8813863,2715,806,140,5.0
1596,"TTKH 71 Phan Chu Trinh, Đà Lạt",Tây Nguyên,Tây Nguyên,Tier 2,11.9533006,108.4689318,3918,578,160,0.0
1597,TTKH 405 QL22 Gò Dầu,Đông Nam Bộ,Tây Ninh,Tier 3,11.0814145,106.2684618,4589,799,216,5.0
1598,"TTKH 311 Quang Trung, Tây Sơn",Miền Trung,Bình Định,Tier 3,13.9064013,108.9216843,1660,182,99,4.6
1599,TTKH QL44A Long Điền,Đông Nam Bộ,Bà Rịa – Vũng Tàu,Tier 3,10.4147504,107.2190738,2689,368,140,0.0
1600,"TTKH 85-87 Đường 30/4, phường Thuận An, TX. Long Mỹ , Hậu Giang",Miền Tây,Hậu Giang,Tier 3,9.669597,105.5650239,3140,237,92,0.0
1601,"TTKH 10 Trần Hưng Đạo, Quế Võ",Miền Bắc,Bắc Ninh,Tier 3,21.1542847,106.1461771,3894,778,227,0.0
1602,"TTKH 193-195 Lê Văn Thọ, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.843218,106.6570131,7629,409,247,5.0
1603,TTKH 50 Huỳnh Minh Thạnh,Đông Nam Bộ,Bà Rịa – Vũng Tàu,Tier 3,10.5333448,107.3997127,1776,549,106,0.0
1604,"TTKH Thị Trấn Diễn Châu, Nghệ An",Miền Bắc,Nghệ An,Tier 3,16.3941066,107.5706672,1935,900,210,0.0
1605,"TTKH 19 Thú Y, Hoài Đức",Miền Bắc,Hà Nội,Tier 3,21.0750407,105.6979953,5285,1486,330,4.92
1606,PNJ Sense Market Cái Bè,Miền Tây,Tiền Giang,Tier 3,10.3286401,106.0215208,4128,364,137,5.0
1607,"TTKH 21-23 đường NC, Bàu Bàng",Đông Nam Bộ,Bình Dương,Tier 3,11.2462393,106.6402607,6310,428,207,5.0
1608,"TTKH 609 Quốc lộ 61,Châu Thành",Miền Tây,Kiên Giang,Tier 3,,,1427,105,139,0.0
1609,TTKH 2172 QL20 Tân Phú,Đông Nam Bộ,Đồng Nai,Tier 3,11.2845244,107.4875348,2506,625,190,5.0
1610,TTKH 7 ô 5/12 Đ. THĐ Đất Đỏ,Đông Nam Bộ,Bà Rịa – Vũng Tàu,Tier 3,,,1873,451,118,0.0
1611,"TTKH 893B Tỉnh Lộ 10, Tân Tạo",Hồ Chí Minh,Hồ Chí Minh,Tier 01,,,0,0,0,0.0
1612,"TTKH 245 Nguyễn Nghiêm, TX Đức Phổ",Miền Trung,Quảng Ngãi,Tier 3,14.8168907,108.953743,2159,312,111,0.0
1613,AEON Mall Huế,Miền Trung,Miền Trung,,16.45462,107.6139515,1337,342,108,5.0
1614,"TTKH 720 Cù Chính Lan, TP. Hòa Bình",Miền Bắc,Hòa Bình,Tier 3,20.8225012,105.3449335,1052,0,148,5.0
1615,"TTKH 136 đường 2/9, Duyên Hải, TV",Miền Tây,Trà Vinh,Tier 3,9.6318935,106.4938879,716,168,116,0.0
1616,"TTKH 1179 Trần Hưng Đạo, Long Xuyên, AG",Miền Tây,An Giang,Tier 1,10.387736,105.4330634,2960,196,160,0.0
1617,"TTKH 239 Phan Chu Trinh, BMT",Tây Nguyên,Tây Nguyên,Tier 1,12.6902852,108.0489596,6378,2135,161,0.0
1618,PNJ Tân Mai,Miền Bắc,Miền Bắc,Tier 1,20.9833902,105.8462562,12525,0,390,5.0
1619,"TTKH 05 Mẹ Suốt, TP Đồng Hới",Miền Trung,Quảng Bình,Tier 3,17.4634648,106.6253107,1400,69,146,5.0
